RBP,IS_K562,IS_HepG2,IS_avg,VS_K562,VS_HepG2,VS_avg
QKI,2.3964076871196895,1.8783693628960316,2.1061393362336944,0.4921173573258388,0.3966502128906917,0.44438378510826526
RBFOX2,2.210408315667114,1.9342143252067656,2.1970362151275573,0.3790016815306744,0.32298565357324305,0.37106384324407404
RBM15,1.239644893304754,1.403202944490604,1.354721453976842,0.1326720137032992,0.19215155429427738,0.17384532627752491
RBM22,1.2949348081750105,1.5201735156863185,1.2751309492765819,0.1502789681772112,0.2147978434403169,0.13579097210075758
RBM5,NA,1.749252610473178,NA,NA,0.26402902811392126,NA
RNF187,1.320134240675548,NA,NA,0.17770533527024063,NA,NA
RPS10,3.4011463202467733,NA,NA,0.6894811766099849,NA,NA
RPS11,4.154462458042817,NA,NA,0.7431824778415205,NA,NA
RPS3,1.2411090104624016,1.574109118666579,1.387471851358962,0.1339576091462276,0.27967685438903755,0.20681723176763256
RPS6,1.2970062433637741,NA,NA,0.18003107927564005,NA,NA
RYBP,1.1178857790260917,NA,NA,0.08320813218837982,NA,NA
SAFB,2.085153888056301,1.9012656261204053,1.7686219171452169,0.48597000925909256,0.40518067272385866,0.42913192921279075
SAFB2,1.5058401697192798,NA,NA,0.31784534528870373,NA,NA
SBDS,3.61893978641339,NA,NA,0.7298303345914736,NA,NA
SDAD1,6.664884943635974,1.5119700137038155,2.3723977665978073,0.7474252794303659,0.2707981131735545,0.5000508897310963
SERBP1,4.507595595055481,NA,NA,0.6561775833318065,NA,NA
SF3A3,NA,1.2949258201090061,NA,NA,0.18341167888200846,NA
SF3B1,3.2196880944743635,NA,NA,0.5441673685354453,NA,NA
SF3B4,1.3078690966531552,1.391393114813277,1.4398524287088952,0.16999667501053128,0.18628124837425425,0.2081843476376977
SFPQ,NA,1.2641072106374935,NA,NA,0.1482774790222417,NA
SLBP,2.6405732023315687,NA,NA,0.5913067268360265,NA,NA
SLTM,2.1036054336506242,2.3565003555587145,2.222567024277904,0.31717944542600646,0.3636208804452771,0.34040016293564174
SMNDC1,1.8436714515840167,3.780179047150914,2.732988066669822,0.3024118915503457,0.7082813838452537,0.5088890673302716
SND1,1.5771940303790404,1.3087671021356377,1.2646362753931724,0.32062268057385995,0.16261249061813815,0.14729421263368608
SRSF1,1.804530141944642,2.151883049913927,1.9625016922144796,0.34030084264657184,0.4200643793102024,0.3801826109783871
SRSF7,4.727485765786105,19.413182916088797,7.592547742833981,0.7312015270204019,0.8541373453090324,0.7926694361647171
SRSF9,6.105901567125439,1.7760736850361387,2.277164393573235,0.6643757747472637,0.3234676654568114,0.4335916971405213
SSB,1.7544735889118264,2.3181961677064957,1.7387138538213034,0.40967547618663613,0.5206245796083065,0.3792265738179743
STAU2,NA,4.75011710323753,NA,NA,0.7343377655966652,NA
SUB1,NA,1.6558783086240934,NA,NA,0.3153635892941438,NA
SUGP2,NA,2.2246456062024484,NA,NA,0.4035300841757722,NA
SUPV3L1,2.287796407014429,1.7748372028707229,2.687929056396506,0.5475545455314543,0.3376178558213148,0.591373424198545
TAF15,1.8151436316820007,1.449082904224802,1.6045860413369086,0.3200906278993255,0.21199736432412192,0.25193300631294263
TARDBP,15.42473489907497,30.776579058988904,20.54804593304362,0.8725841362306449,0.9051239857404728,0.8888540609855589
TBRG4,6.210756802159734,3.714657869065073,4.288925473744886,0.8065812479283316,0.7136205940594745,0.7381589563398179
TIA1,3.8379455353593923,8.66535310301139,5.317955256501608,0.47520539219488234,0.6929838981460676,0.5840946451704749
